hotel_id,hotel_name,n_comment,n_star,url,Price
117,Hampton by Hilton London Waterloo,3836,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d5961318-Reviews-Hampton_by_Hilton_London_Waterloo-London_England.html,£170
118,Hilton London Paddington,5160,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d209371-Reviews-Hilton_London_Paddington-London_England.html,£204
119,Novotel London Greenwich,2310,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d529404-Reviews-Novotel_London_Greenwich-London_England.html,£98
120,The Z Hotel Piccadilly,1609,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d6703394-Reviews-The_Z_Hotel_Piccadilly-London_England.html,£123
121,Ridgemount Hotel,1539,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d187680-Reviews-Ridgemount_Hotel-London_England.html,£132
122,Park Plaza County Hall London,9257,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d672863-Reviews-Park_Plaza_County_Hall_London-London_England.html,£165
123,Park Plaza London Park Royal,1091,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d11717496-Reviews-Park_Plaza_London_Park_Royal-London_England.html,£112
124,The Z Hotel Shoreditch,816,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d7796230-Reviews-The_Z_Hotel_Shoreditch-London_England.html,£85
125,Z Hotel Tottenham Court Road,183,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d13474415-Reviews-Z_Hotel_Tottenham_Court_Road-London_England.html,£130
126,Phoenix Hotel,2185,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d192081-Reviews-Phoenix_Hotel-London_England.html,£126
127,Holiday Inn Express London - Hammersmith,1332,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d242713-Reviews-Holiday_Inn_Express_London_Hammersmith-London_England.html,£91
128,"Point A Hotel, London Westminster",3455,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d1867292-Reviews-Point_A_Hotel_London_Westminster-London_England.html,£84
129,SponsoredThe Prince Akatoki London,71,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d1626349-Reviews-The_Prince_Akatoki_London-London_England.html,£383
130,ME London,4112,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d2630895-Reviews-ME_London-London_England.html,£351
131,"The May Fair, A Radisson Collection Hotel",5850,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d187735-Reviews-The_May_Fair_A_Radisson_Collection_Hotel-London_England.html,£314
132,The Waldorf Hilton London,5580,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d193045-Reviews-The_Waldorf_Hilton_London-London_England.html,£260
133,The Chelsea Harbour Hotel,2273,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d193620-Reviews-The_Chelsea_Harbour_Hotel-London_England.html,£186
134,Sea Containers London,4950,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d6161763-Reviews-Sea_Containers_London-London_England.html,£210
135,SponsoredOYO Grantly,465,3.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d279641-Reviews-OYO_Grantly-London_England.html,£72
136,Kimpton Fitzroy London,878,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d193051-Reviews-Kimpton_Fitzroy_London-London_England.html,£291
137,The Belgrave,1740,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d295184-Reviews-The_Belgrave-London_England.html,£114
138,The Park City Grand Plaza Kensington Hotel,1661,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d192090-Reviews-The_Park_City_Grand_Plaza_Kensington_Hotel-London_England.html,£190
139,Ace Hotel London Shoreditch,2224,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d309532-Reviews-Ace_Hotel_London_Shoreditch-London_England.html,£180
140,Mimi's Hotel Soho,437,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d11962965-Reviews-Mimi_s_Hotel_Soho-London_England.html,£142
141,The Clarendon Hotel - Blackheath Village,2482,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d289375-Reviews-The_Clarendon_Hotel_Blackheath_Village-London_England.html,£116
142,DoubleTree by Hilton Hotel London - Chelsea,1977,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d305742-Reviews-DoubleTree_by_Hilton_Hotel_London_Chelsea-London_England.html,£116
143,DoubleTree by Hilton Hotel London - Victoria,2823,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d195204-Reviews-DoubleTree_by_Hilton_Hotel_London_Victoria-London_England.html,£206
144,Georgian House Hotel,1067,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d275575-Reviews-Georgian_House_Hotel-London_England.html,£149
145,The Z Hotel Covent Garden,190,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d15360882-Reviews-The_Z_Hotel_Covent_Garden-London_England.html,£120
146,The Darlington Hyde Park,2487,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d214639-Reviews-The_Darlington_Hyde_Park-London_England.html,£109
147,The Chilworth London Paddington,913,5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d735547-Reviews-The_Chilworth_London_Paddington-London_England.html,£197
148,Ibis London Greenwich,1489,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d191908-Reviews-Ibis_London_Greenwich-London_England.html,£78
149,Pestana Chelsea Bridge,3139,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d1657540-Reviews-Pestana_Chelsea_Bridge-London_England.html,£160
150,Hampton by Hilton London Docklands,656,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d12031854-Reviews-Hampton_by_Hilton_London_Docklands-London_England.html,£170
151,Point A Hotel - London Paddington,3515,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d3226266-Reviews-Point_A_Hotel_London_Paddington-London_England.html,£124
152,Copthorne Tara Hotel London Kensington,8074,3.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d193138-Reviews-Copthorne_Tara_Hotel_London_Kensington-London_England.html,£107
